# GALAH DR3 ID: 131120001102089
# wv, flux
5648.80859375 1254.1695556640625
5648.863253593445 1241.300048828125
5648.91791343689 1260.3095703125
5648.9725732803345 1284.8387451171875
5649.027233123779 1282.2344970703125
5649.081892967224 1259.430908203125
5649.136552810669 1252.416015625
5649.191212654114 1274.0633544921875
5649.245872497559 1285.5335693359375
5649.300532341003 1290.7646484375
5649.355192184448 1308.9427490234375
5649.409852027893 1303.887939453125
5649.464511871338 1299.8790283203125
5649.519171714783 1302.2520751953125
5649.5738315582275 1297.3095703125
5649.628491401672 1283.295654296875
5649.683151245117 1270.3057861328125
5649.737811088562 1255.3504638671875
5649.792470932007 1247.864013671875
5649.847130775452 1260.47900390625
5649.9017906188965 1275.20703125
5649.956450462341 1263.3685302734375
5650.011110305786 1277.07275390625
5650.065770149231 1317.2618408203125
5650.120429992676 1327.12890625
5650.175089836121 1305.3751220703125
5650.229749679565 1305.598388671875
5650.28440952301 1305.0496826171875
5650.339069366455 1303.445068359375
5650.3937292099 1297.5313720703125
5650.448389053345 1293.3184814453125
5650.50304889679 1307.41552734375
5650.557708740234 1305.186767578125
5650.612368583679 1290.472412109375
5650.667028427124 1282.421142578125
5650.721688270569 1273.1966552734375
5650.776348114014 1274.02880859375
5650.8310079574585 1322.4305419921875
5650.885667800903 1333.8905029296875
5650.940327644348 1302.8746337890625
5650.994987487793 1278.95947265625
5651.049647331238 1280.7889404296875
5651.104307174683 1284.4482421875
5651.158967018127 1298.0460205078125
5651.213626861572 1284.6788330078125
5651.268286705017 1257.900146484375
5651.322946548462 1255.9482421875
5651.377606391907 1266.013671875
5651.432266235352 1263.7115478515625
5651.486926078796 1278.2298583984375
5651.541585922241 1287.184326171875
5651.596245765686 1281.0579833984375
5651.650905609131 1284.64794921875
5651.705565452576 1287.02001953125
5651.7602252960205 1274.2449951171875
5651.814885139465 1276.2655029296875
5651.86954498291 1285.8616943359375
5651.924204826355 1281.4185791015625
5651.9788646698 1284.593505859375
5652.033524513245 1297.35693359375
5652.088184356689 1300.4190673828125
5652.142844200134 1300.5623779296875
5652.197504043579 1307.2777099609375
5652.252163887024 1301.4739990234375
5652.306823730469 1286.364501953125
5652.361483573914 1279.478515625
5652.416143417358 1280.8316650390625
5652.470803260803 1291.977294921875
5652.525463104248 1308.557373046875
5652.580122947693 1286.87841796875
5652.634782791138 1283.2291259765625
5652.6894426345825 1286.416748046875
5652.744102478027 1287.0341796875
5652.798762321472 1302.5677490234375
5652.853422164917 1298.605712890625
5652.908082008362 1281.600341796875
5652.962741851807 1271.353759765625
5653.0174016952515 1264.082763671875
5653.072061538696 1262.2613525390625
5653.126721382141 1282.1741943359375
5653.181381225586 1286.30712890625
